Post_ID,Platform,Post_Type,Date,Likes,Engagement_Score
POST0055,Instagram,Reel,2025-10-05,1048,1298
POST0056,Instagram,Image,2025-10-27,7861,9702
POST0057,Twitter,Image,2025-09-18,1362,1480
POST0058,LinkedIn,Image,2025-12-12,14170,16371
POST0059,Instagram,Reel,2025-05-07,9535,10811
POST0060,LinkedIn,Image,2025-08-03,10820,13929
POST0061,Facebook,Video,2025-12-09,11784,13802
POST0062,Facebook,Text,2025-03-09,11054,13686
POST0063,Facebook,Image,2025-01-05,7558,9694
POST0064,Instagram,Image,2025-10-03,3542,4261
POST0065,Twitter,Carousel,2025-02-05,14455,16589
POST0066,Facebook,Video,2025-08-13,13710,16861
POST0067,LinkedIn,Story,2025-09-28,178,244
POST0068,Facebook,Story,2025-02-23,14437,15797
POST0069,Instagram,Image,2025-10-11,2596,3090
POST0070,LinkedIn,Video,2025-06-25,3385,4234
POST0071,LinkedIn,Text,2025-05-09,14883,15373
POST0072,YouTube,Text,2025-05-22,772,835
POST0073,Twitter,Story,2025-05-15,2697,3476
POST0074,LinkedIn,Image,2025-02-27,1282,1370
POST0075,Facebook,Reel,2025-10-10,2476,2744
POST0076,Instagram,Carousel,2025-07-06,14778,16038
POST0077,Twitter,Story,2025-05-08,10977,12483
POST0078,LinkedIn,Text,2025-11-14,12329,13687
POST0079,Twitter,Video,2025-07-31,456,547
POST0080,Facebook,Text,2025-12-09,14206,16041
POST0081,Twitter,Story,2025-02-25,6317,7115
POST0082,Twitter,Video,2025-08-24,5778,6750
POST0083,Twitter,Image,2025-12-04,3214,3874
POST0084,Facebook,Image,2025-05-23,5803,7457
POST0085,YouTube,Reel,2025-06-19,502,600
POST0086,Facebook,Video,2025-10-25,4399,4518
POST0087,LinkedIn,Text,2025-06-26,11986,14608
POST0088,LinkedIn,Reel,2025-03-01,6361,7832
POST0089,Facebook,Image,2025-12-29,7194,7994
POST0090,LinkedIn,Story,2025-12-10,3278,3980
POST0091,Instagram,Story,2025-06-19,10259,11924
POST0092,YouTube,Carousel,2025-09-17,5117,6454
POST0093,TikTok,Story,2025-06-01,9133,9687
POST0094,TikTok,Story,2025-07-14,11147,12783
POST0095,TikTok,Reel,2025-01-01,5028,5479
POST0096,TikTok,Reel,2025-11-07,10776,13522
POST0097,TikTok,Text,2025-12-12,3551,4436
POST0098,YouTube,Video,2025-12-04,1439,1778
POST0099,YouTube,Story,2025-11-14,5541,6091
POST0100,YouTube,Carousel,2025-04-26,13264,14528
POST0101,Instagram,Image,2025-05-06,7834,10263
POST0102,Instagram,Text,2025-08-01,14568,18913
POST0103,Twitter,Story,2025-12-23,6341,7965
POST0104,Twitter,Video,2025-12-02,11316,11665
POST0105,TikTok,Video,2025-04-01,13224,16769
POST0106,Instagram,Reel,2025-05-08,13949,15846
POST0107,Twitter,Text,2025-12-08,8752,10808
POST0108,Facebook,Text,2025-11-10,13403,16777
POST0109,LinkedIn,Text,2025-03-23,12234,15558
POST0110,Facebook,Video,2025-11-23,4593,5974
POST0111,LinkedIn,Text,2025-11-17,3969,4585
POST0112,Instagram,Story,2025-05-27,3891,4424
POST0113,Facebook,Reel,2025-02-11,2317,2480
POST0114,TikTok,Story,2025-03-20,11623,12694
POST0115,TikTok,Text,2025-06-19,8940,10530
POST0116,Instagram,Video,2025-08-04,6431,7657
POST0117,LinkedIn,Text,2025-09-02,146,180
POST0118,TikTok,Text,2025-10-03,12297,16384
POST0119,Twitter,Text,2025-04-23,4521,5339
POST0120,Instagram,Text,2025-06-22,11008,13171
POST0121,TikTok,Video,2025-11-15,8801,9458
POST0122,LinkedIn,Reel,2025-12-06,494,564
POST0123,TikTok,Video,2025-08-25,3027,3275
POST0124,TikTok,Carousel,2025-04-19,7499,8683
POST0125,TikTok,Carousel,2025-08-04,4183,4625
POST0126,Instagram,Story,2025-10-04,903,1033
POST0127,YouTube,Image,2025-11-30,709,760
POST0128,Twitter,Image,2025-11-15,2546,2886
POST0129,TikTok,Story,2025-02-28,9290,10450
POST0130,YouTube,Carousel,2025-07-08,2799,3038
POST0131,Facebook,Image,2025-10-24,470,562
POST0132,YouTube,Text,2025-07-23,11764,12807
POST0133,LinkedIn,Story,2025-11-18,4028,4666
POST0134,Facebook,Story,2025-11-04,13247,15478
POST0135,Instagram,Carousel,2025-09-30,7068,8989
POST0136,Instagram,Reel,2025-11-28,5640,6309
POST0137,TikTok,Image,2025-08-10,5984,7158
POST0138,TikTok,Video,2025-09-25,10707,13298
POST0139,TikTok,Text,2025-10-31,4447,5431
POST0140,Twitter,Image,2025-05-23,14494,17087
POST0141,TikTok,Reel,2025-11-09,10997,13581
POST0142,Instagram,Text,2025-06-16,3029,3689
POST0143,Facebook,Carousel,2025-06-24,4631,5987
POST0144,YouTube,Carousel,2025-10-12,216,257
POST0145,Instagram,Video,2025-07-28,8054,10354
POST0146,Twitter,Story,2025-09-01,10632,14016
POST0147,Instagram,Image,2025-05-31,3680,4625
POST0148,Twitter,Carousel,2025-12-06,9578,11058
POST0149,LinkedIn,Reel,2025-06-26,7021,8654
POST0150,Facebook,Story,2025-08-21,4488,4992
POST0151,Twitter,Image,2025-04-09,5219,5745
POST0152,Twitter,Video,2025-09-05,4580,5770
POST0153,LinkedIn,Reel,2025-05-25,1697,1906
POST0154,Twitter,Carousel,2025-04-02,5002,5559
POST0155,LinkedIn,Video,2025-05-21,795,912
POST0156,Facebook,Story,2025-03-06,10500,12825
POST0157,Instagram,Reel,2025-05-26,7740,9395
POST0158,Facebook,Video,2025-01-27,4186,4761
POST0159,Instagram,Text,2025-09-09,1263,1346
POST0160,Twitter,Reel,2025-06-05,1445,1616
POST0161,LinkedIn,Text,2025-11-07,9816,12382
POST0162,Twitter,Reel,2025-07-14,7431,8793
POST0163,LinkedIn,Text,2025-06-06,9366,10726
POST0164,LinkedIn,Story,2025-02-20,12546,14044
POST0165,Facebook,Story,2025-02-11,2623,2999
POST0166,LinkedIn,Image,2025-03-22,93,126
POST0167,YouTube,Reel,2025-08-29,4821,5030
POST0168,Facebook,Story,2025-05-25,11567,13641
POST0169,YouTube,Video,2025-05-16,12957,17326
POST0170,YouTube,Video,2025-08-06,1930,2292
POST0171,YouTube,Video,2025-05-17,13593,14394
POST0172,Instagram,Video,2025-06-07,9799,12597
POST0173,LinkedIn,Carousel,2025-08-13,2087,2589
POST0174,Facebook,Story,2025-07-26,4510,5436
POST0175,TikTok,Text,2025-02-11,9848,11293
POST0176,TikTok,Story,2025-06-15,9941,10492
POST0177,Instagram,Video,2025-12-12,13746,17905
POST0178,Instagram,Story,2025-05-18,9491,10743
POST0179,Twitter,Text,2025-09-23,10724,13386
POST0180,Twitter,Reel,2025-08-12,10450,12743
POST0181,TikTok,Carousel,2025-07-29,5510,6325
POST0182,Twitter,Carousel,2025-07-30,11415,14328
POST0183,YouTube,Text,2025-10-09,651,782
POST0184,Facebook,Carousel,2025-06-15,1949,2496
POST0185,LinkedIn,Image,2025-12-03,14293,17934
POST0186,TikTok,Image,2025-04-07,8544,10238
POST0187,TikTok,Story,2025-08-15,12501,13335
POST0188,Facebook,Reel,2025-03-09,4769,5892
POST0189,YouTube,Text,2025-03-04,522,659
POST0190,Twitter,Story,2025-03-23,5141,5793
POST0191,Instagram,Video,2025-02-28,7610,8843
POST0192,Twitter,Text,2025-05-30,8387,10248
POST0193,TikTok,Text,2025-08-30,4043,4932
POST0194,Twitter,Text,2025-04-08,9870,12056
POST0195,Twitter,Image,2025-05-22,12709,15451
POST0196,LinkedIn,Carousel,2025-01-02,4684,5654
POST0197,LinkedIn,Reel,2025-12-04,8072,9060
POST0198,LinkedIn,Text,2025-06-26,5496,6967
POST0199,Facebook,Video,2025-12-24,3962,4840
POST0200,Twitter,Text,2025-01-23,5263,6816
